timestamp,symbol,side,prix d'éxécution (open du jour),quantité,cmp,pnl realisé,pnl latent,close du jour,available_quantity,position_value_cost,cost
2023-03-14 00:00:00+00:00,jet,BUY,193.35,6.0,193.35638055,0.0,69.86171669999993,205.0,6.0,1160.1382833,0.0382833
2023-03-30 00:00:00+00:00,jet,BUY,204.95,8.0,199.98517072142857,0.0,69.5076098999998,204.95,14.0,2799.7923901,0.054106800000000004
2023-04-04 00:00:00+00:00,jet,BUY,200.0,25.0,199.99890743846154,0.0,0.04260989999980325,200.0,39.0,7799.9573901,0.16500000000000004
2023-05-31 00:00:00+00:00,jet,SELL,223.5,-10.0,199.99890743846154,234.93717061538456,682.9816842846155,223.55,29.0,5799.968315715385,0.07375500000000001
2023-08-01 00:00:00+00:00,jet,SELL,240.0,-8.0,199.99890743846154,319.94538049230766,861.0229437923076,241.0,21.0,4199.977056207693,0.06336000000000001
2023-09-04 00:00:00+00:00,jet,BUY,237.0,101.0,230.6374342394073,0.0,44.23302279230961,231.0,122.0,28137.76697720769,0.7899210000000001
2023-10-06 00:00:00+00:00,jet,SELL,250.0,-31.0,230.6374342394073,599.9837885783737,2121.443484213935,253.95,91.0,20988.006515786063,0.25575000000000003
2023-11-30 00:00:00+00:00,jet,BUY,247.0,41.0,235.72227808171257,0.0,1435.8592932139395,246.6,132.0,31115.34070678606,0.334191
2023-12-14 00:00:00+00:00,jet,SELL,256.45,-33.0,235.72227808171257,683.7355492534847,2393.594469910453,259.9,99.0,23336.505530089544,0.27927405000000005
2024-01-10 00:00:00+00:00,jet,SELL,265.1,-25.0,235.72227808171257,734.2243404571861,3417.151421953268,281.9,74.0,17443.44857804673,0.21870750000000005
2024-02-09 00:00:00+00:00,jet,SELL,341.0,-19.0,235.72227808171257,2000.062909447461,6285.274705505808,350.0,55.0,12964.725294494192,0.21380700000000002
2024-02-29 00:00:00+00:00,jet,SELL,369.0,-14.0,235.72227808171257,1865.717628856024,5505.386598649785,370.0,41.0,9664.613401350216,0.17047800000000002
2024-03-28 00:00:00+00:00,jet,SELL,408.0,-11.0,235.72227808171257,1894.9068371011615,5588.331657548622,422.0,30.0,7071.668342451378,0.148104
2024-04-30 00:00:00+00:00,jet,SELL,598.9,-8.0,235.72227808171257,2905.263665746299,8124.109882202323,605.0,22.0,5185.890117797677,0.15810960000000002
2024-06-06 00:00:00+00:00,jet,BUY,545.0,48.0,447.81076282568114,0.0,7153.24660220232,550.0,70.0,31346.75339779768,0.86328
2024-07-08 00:00:00+00:00,jet,SELL,580.0,-18.0,447.81076282568114,2379.0617491377393,7081.840333064581,584.0,52.0,23286.15966693542,0.34452000000000005
2024-07-16 00:00:00+00:00,jet,SELL,610.1,-13.0,447.81076282568114,2109.4983503661456,6286.380249798435,609.0,39.0,17464.619750201564,0.26173290000000005
2024-08-29 00:00:00+00:00,jet,SELL,675.0,-10.0,447.81076282568114,2271.6696217431886,8328.487878055246,735.0,29.0,12986.512121944754,0.22275
2024-10-01 00:00:00+00:00,jet,SELL,1039.0,-8.0,447.81076282568114,4729.239601394551,11388.073980660698,990.1,21.0,9404.026019339304,0.27429600000000004
2024-10-07 00:00:00+00:00,jet,SELL,1248.0,-6.0,447.81076282568114,4800.888319045913,11357.838557614781,1205.0,15.0,6717.161442385217,0.24710400000000007
2024-10-21 00:00:00+00:00,jet,SELL,1394.0,-4.0,447.81076282568114,3784.572940697275,10408.081608917506,1394.0,11.0,4925.918391082492,0.184008
2024-11-11 00:00:00+00:00,jet,SELL,1665.0,-3.0,447.81076282568114,3651.4028765229564,9617.51389739455,1650.0,8.0,3582.486102605449,0.164835
2024-11-25 00:00:00+00:00,jet,BUY,1580.0,20.0,1256.5546036644803,0.0,7152.471097394552,1512.0,28.0,35183.528902605445,1.0428000000000002
2024-12-18 00:00:00+00:00,jet,SELL,1690.0,-7.0,1256.5546036644803,3033.7273843486378,9627.353323045914,1715.0,21.0,26387.646676954086,0.39039000000000007
2024-12-23 00:00:00+00:00,jet,SELL,1830.0,-6.0,1256.5546036644803,3440.310038013118,9051.680945032796,1860.0,15.0,18848.319054967204,0.36234000000000005
2025-01-03 00:00:00+00:00,jet,SELL,2106.0,-4.0,1256.5546036644803,3397.503593342079,9937.899359690717,2160.0,11.0,13822.100640309283,0.277992
2025-02-13 00:00:00+00:00,jet,SELL,2280.0,-3.0,1256.5546036644803,3070.110469006559,8187.563170684158,2280.0,8.0,10052.436829315842,0.22572000000000006
2025-02-18 00:00:00+00:00,jet,SELL,2489.0,-2.0,1256.5546036644803,2464.7265186710392,7568.672378013118,2518.0,6.0,7539.327621986882,0.16427400000000003
2025-03-13 00:00:00+00:00,jet,BUY,2360.0,15.0,2044.7855153327089,0.0,7984.504178013113,2425.0,21.0,42940.495821986886,1.1682000000000003
2025-03-28 00:00:00+00:00,jet,BUY,2340.0,11.0,2146.29203881209,0.0,8118.6547580131155,2400.0,32.0,68681.34524198688,0.8494200000000001
2025-04-28 00:00:00+00:00,jet,SELL,2196.0,-8.0,2146.29203881209,397.08394550327887,1768.9910685098366,2220.0,24.0,51511.00893149016,0.579744
2025-05-14 00:00:00+00:00,jet,SELL,2320.0,-6.0,2146.29203881209,1041.788407127459,3612.7433013823775,2347.0,18.0,38633.256698617624,0.4593600000000001
2025-05-29 00:00:00+00:00,jet,BUY,2180.0,12.0,2159.803999287254,0.0,575.880021382377,2179.0,30.0,64794.11997861762,0.86328
2025-06-12 00:00:00+00:00,jet,BUY,2050.0,10.0,2132.36991196544,0.0,-5494.796478617609,1995.0,40.0,85294.79647861762,0.6765000000000001
2025-08-06 00:00:00+00:00,jet,SELL,2250.0,-10.0,2132.36991196544,1175.5583803455977,2718.9026410367933,2223.0,30.0,63971.097358963205,0.7425
